,id_turma,codigo_turma,id_docente_interno,id_componente_curricular,local,ano,periodo,descricao_horario,situacao_turma,nome_disc,formacao_prof,id_prof,lotacao_prof,nome_prof,aprovados,disc_max,disc_mean,disc_min,reprovados,total_alunos,ano_periodo,Turno
955,1217917,01,5756224.0,55031.0,B203 no CIVT,2014,1.0,236M1234 (27/01/2014 - 14/06/2014),CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,33,10.0,7.15,0.6,3,36,2014_1,M
956,1217917,01,5756386.0,55031.0,B203 no CIVT,2014,1.0,236M1234 (27/01/2014 - 14/06/2014),CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,33,10.0,7.15,0.6,3,36,2014_1,M
957,1217918,02,5756188.0,55031.0,B204 no CIVT,2014,1.0,236M1234 (27/01/2014 - 14/06/2014),CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,39,9.3,5.58,0.0,11,50,2014_1,M
958,1217918,02,5756386.0,55031.0,B204 no CIVT,2014,1.0,236M1234 (27/01/2014 - 14/06/2014),CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,39,9.3,5.58,0.0,11,50,2014_1,M
959,1217919,03,5756208.0,55031.0,B203 no CIVT,2014,1.0,236N1234 (27/01/2014 - 14/06/2014),CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,29,9.5,5.55,0.0,12,41,2014_1,N
960,1217919,03,5756386.0,55031.0,B203 no CIVT,2014,1.0,236N1234 (27/01/2014 - 14/06/2014),CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,29,9.5,5.55,0.0,12,41,2014_1,N
961,1217920,04,5756213.0,55031.0,B204 no CIVT,2014,1.0,236N1234 (27/01/2014 - 14/06/2014),CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,28,9.5,4.61,0.0,16,44,2014_1,N
962,1217920,04,5755819.0,55031.0,B204 no CIVT,2014,1.0,236N1234 (27/01/2014 - 14/06/2014),CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5755819.0,INSTITUTO METROPOLE DIGITAL,ANDERSON PAIVA CRUZ,28,9.5,4.61,0.0,16,44,2014_1,N
997,1217943,01,5755872.0,52662.0,A306 no CIVT,2014,1.0,246M56 (27/01/2014 - 14/06/2014),CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,DOUTORADO,5755872.0,INSTITUTO METROPOLE DIGITAL,SAMYR SILVA BEZERRA JACOME,13,10.0,4.51,0.0,10,23,2014_1,M
998,1217944,02,5755872.0,52662.0,A308 no CIVT,2014,1.0,246N12 (27/01/2014 - 14/06/2014),CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,DOUTORADO,5755872.0,INSTITUTO METROPOLE DIGITAL,SAMYR SILVA BEZERRA JACOME,3,8.3,3.61,0.4,6,9,2014_1,N
